Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
1,Los Nietos School District,0.03,"$14,525","$63,516"
2,Gen Shafter Elementary School District,0.13,"$17,245","$49,167"
3,Browns Elementary School District,0.17,"$10,664","$83,942"
4,Pajaro Valley Unified School District,0.19,"$13,924","$66,867"
5,Bonita Unified School District,0.27,"$10,602","$84,202"
6,Roseville City Elementary School District,0.28,"$11,104","$81,921"
7,Tracy Joint Unified School District,0.29,"$10,666","$84,256"
8,Anderson Valley Unified School District,0.31,"$17,941","$45,164"
9,San Marcos Unified School District,0.33,"$11,157","$81,207"
10,Val Verde Unified School District,0.38,"$14,085","$65,607"
11,Imperial Unified School District,0.51,"$10,778","$83,813"
12,Twin Ridges Elementary School District,0.54,"$18,845","$40,192"
13,North Monterey County Unified School District,0.55,"$12,794","$72,355"
14,Fountain Valley School District,0.56,"$9,634","$89,934"
15,Sulphur Springs Union School District,0.63,"$10,732","$83,254"
16,Lakeside Union Elementary School District,0.72,"$10,705","$83,339"
17,Wright Elementary School District,0.74,"$12,525","$74,690"
18,Galt Joint Union Elementary School District,0.81,"$12,624","$73,076"
19,Oxnard Union High School District,1,"$12,248","$74,936"
20,Arcohe Union Elementary School District,1.01,"$10,333","$86,530"
21,Covina Valley Unified School District,1.12,"$12,762","$72,119"
22,Lowell Joint Elementary School District,1.28,"$9,853","$87,475"
23,West Covina Unified School District,1.33,"$10,578","$83,581"
24,La Habra City Elementary School District,1.44,"$12,572","$74,932"
25,North Cow Creek Elementary School District,1.44,"$9,402","$91,786"
26,Lone Pine Unified School District,1.48,"$18,443","$43,750"
27,Klamath Trinity Joint Unified School District,1.48,"$19,369","$38,828"
28,Downey Unified School District,1.49,"$12,903","$71,110"
29,Pomona Unified School District,1.55,"$14,936","$60,261"
30,West Contra Costa Unified School District,1.56,"$12,364","$73,931"
31,East Whittier Elementary School District,1.57,"$10,657","$82,995"
32,Pleasant Valley Joint Union School District,1.57,"$12,819","$71,500"
33,Foresthill Union Elementary School District,1.59,"$11,406","$79,000"
34,Dry Creek Joint Elementary School District,1.59,"$9,658","$90,532"
35,Westside Union School District,1.68,"$9,924","$89,175"
36,Orcutt Union School District,1.72,"$10,240","$85,105"
37,Surprise Valley Joint Unified School District,1.76,"$18,000","$43,824"
38,Baker Valley Unified School District,1.8,"$18,755","$42,321"
39,Hornbrook Elementary School District,1.82,"$18,860","$39,211"
40,Rio Elementary School District,1.86,"$11,801","$76,712"
41,Chula Vista Elementary School District,1.88,"$11,672","$77,384"
42,Azusa Unified School District,1.92,"$14,445","$65,313"
43,Ravenswood City Elementary School District,2.07,"$14,202","$63,797"
44,Placer Union High School District,2.15,"$12,206","$74,350"
45,Templeton Unified School District,2.21,"$10,890","$84,418"
46,Junction Elementary School District,2.23,"$11,324","$78,988"
47,Twain Harte School District,2.23,"$14,838","$60,308"
48,Charter Oak Unified School District,2.49,"$11,604","$80,816"
49,Bassett Unified School District,2.55,"$14,625","$64,803"
50,Aromas/San Juan Unified School District,2.59,"$11,084","$83,654"
51,Norwalk La Mirada Unified School District,2.62,"$13,203","$72,409"
52,Muroc Unified School District,2.64,"$16,081","$57,123"
53,Mulberry Elementary School District,2.77,"$11,951","$79,167"
54,Los Alamitos Unified School District,2.78,"$11,235","$82,981"
55,San Benito Joint Union High School District,2.82,"$11,220","$83,093"
56,Cuyama Joint Unified School District,2.92,"$17,112","$47,734"
57,Hayward Unified School District,2.98,"$12,007","$79,022"
58,Big Valley Joint Unified School District,3.1,"$17,741","$48,625"
59,Ojai Unified School District,3.1,"$12,136","$74,053"
60,Igo-Ono-Plantina Union Elementary School District,3.25,"$19,450","$39,643"
61,Fallbrook Union High School District,3.37,"$14,421","$61,720"
62,Mountain Union Elementary School District,3.58,"$18,597","$39,375"
63,Hacienda La Puente Unified School District,3.58,"$12,585","$76,371"
64,Bonsall Unified School District,3.63,"$9,189","$94,457"
65,Hughson Unified School District,3.64,"$11,867","$75,104"
66,Lagunita Elementary School District,3.73,"$9,571","$92,500"
67,Center Unified School District,3.74,"$12,064","$73,989"
68,Clovis Unified School District,3.88,"$11,038","$79,342"
69,Soquel Union Elementary School District,3.9,"$10,433","$82,546"
70,Santa Barbara Unified School District,3.93,"$11,638","$76,122"
71,Janesville Unified Elementary School District,3.94,"$9,491","$87,526"
72,Hollister Elementary School District,3.97,"$10,582","$81,704"
73,Chaffey Union High School District,4.38,"$12,162","$73,015"
74,Napa Valley Unified School District,4.44,"$11,122","$84,755"
75,Elk Grove Unified School District,4.53,"$11,515","$76,348"
76,Golden Valley Unified School District,4.6,"$10,876","$79,696"
77,Lucia Mar Unified School District,4.62,"$11,385","$76,977"
78,Hart Ransom Union Elementary School District,4.66,"$9,322","$87,917"
79,Fairfield-Suisun Joint Unified School District,4.7,"$10,661","$80,769"
