county_code,county,median_household_income
1,Alameda,"92,574"
2,Alpine,"64,688"
3,Amador,"61,198"
4,Butte,"48,443"
5,Calaveras,"58,151"
6,Colusa,"56,704"
7,Contra Costa,"93,712"
8,Del Norte,"45,258"
9,El Dorado,"80,582"
10,Fresno,"51,261"
11,Glenn,"47,395"
12,Humboldt,"45,528"
13,Imperial,"45,834"
14,Inyo,"52,874"
15,Kern,"52,479"
16,Kings,"53,865"
17,Lake,"42,475"
18,Lassen,"56,362"
19,Los Angeles,"64,251"
20,Madera,"52,884"
21,Marin,"110,217"
22,Mariposa,"51,199"
23,Mendocino,"49,233"
24,Merced,"50,129"
25,Modoc,"45,149"
26,Mono,"63,018"
27,Monterey,"66,676"
28,Napa,"84,753"
29,Nevada,"63,240"
30,Orange,"85,398"
31,Placer,"84,357"
32,Plumas,"53,270"
33,Riverside,"63,948"
34,Sacramento,"63,902"
35,San Benito,"81,977"
36,San Bernardino,"60,164"
37,San Diego,"74,855"
38,San Francisco,"104,552"
39,San Joaquin,"61,145"
40,San Luis Obispo,"70,699"
41,San Mateo,"113,776"
42,Santa Barbara,"71,657"
43,Santa Clara,"116,178"
44,Santa Cruz,"78,041"
45,Shasta,"50,905"
46,Sierra,"48,125"
47,Siskiyou,"44,200"
48,Solano,"77,609"
49,Sonoma,"76,753"
50,Stanislaus,"57,387"
51,Sutter,"56,955"
52,Tehama,"42,899"
53,Trinity,"38,497"
54,Tulare,"47,518"
55,Tuolumne,"56,493"
56,Ventura,"84,017"
57,Yolo,"65,923"
58,Yuba,"52,624"
